sep=;
ACCELEROMETER X (m/s²);ACCELEROMETER Y (m/s²);ACCELEROMETER Z (m/s²);GRAVITY X (m/s²);GRAVITY Y (m/s²);GRAVITY Z (m/s²);LINEAR ACCELERATION X (m/s²);LINEAR ACCELERATION Y (m/s²);LINEAR ACCELERATION Z (m/s²);GYROSCOPE X (rad/s);GYROSCOPE Y (rad/s);GYROSCOPE Z (rad/s);LIGHT ( lux);MAGNETIC FIELD X (μT);MAGNETIC FIELD Y (μT);MAGNETIC FIELD Z (μT);ORIENTATION X (°);ORIENTATION Y (°);ORIENTATION Z (°);PROXIMITY ( cm);ATMOSPHERIC PRESSURE (hPa);SOUND LEVEL (dB);LOCATION Latitude : ;LOCATION Longitude : ;LOCATION Altitude ( m);LOCATION Speed ( Kmh);LOCATION Accuracy ( m);Satellites in range;Temperature ( °C);Level (%);Voltage (Volt);Time since start in ms ;YYYY-MO-DD HH-MI-SS_SSS
2.49;2.2697;4.616;2.5107;5.0577;8.0179;0.0271;-3.0945;-3.8328;0.4475;0.7364;-0.4166;3561.0;-28.08;109.38;6.6;17.0;-31.05;-17.39;8.0;867.59;71.287;19.520004;-96.91566;;;154.8387;0 / 0;95.2;87.0;4.073;5493;2014-11-08 13:53:21:307
2.49;2.2697;4.616;2.5107;5.0577;8.0179;0.0271;-3.0945;-3.8328;0.4475;0.7364;-0.4166;3561.0;-28.08;109.38;6.6;17.0;-31.05;-17.39;8.0;867.59;71.287;19.520004;-96.91566;;;154.8387;0 / 0;95.2;87.0;4.073;14304;2014-11-08 13:53:21:308
2.873;1.8579;8.0158;1.9948;5.6403;7.7703;0.7346;-3.3228;-0.9325;-1.5818;0.1808;-0.4759;4798.0;-33.12;114.24;9.24;19.53;-32.26;-15.34;8.0;867.47;61.012;19.520004;-96.91566;;;154.8387;0 / 0;95.2;87.0;4.073;6011;2014-11-08 13:53:21:825
2.873;1.8579;8.0158;1.9948;5.6403;7.7703;0.7346;-3.3228;-0.9325;-1.5818;0.1808;-0.4759;4798.0;-33.12;114.24;9.24;19.53;-32.26;-15.34;8.0;867.47;61.012;19.520004;-96.91566;;;154.8387;0 / 0;95.2;87.0;4.073;14823;2014-11-08 13:53:21:827
2.8347;2.7007;5.6886;2.9171;4.4459;8.2398;-0.1398;-1.7836;-2.7332;-0.6109;-0.1484;-0.5424;4570.0;-33.0;117.78;10.08;18.17;-27.43;-17.97;8.0;867.59;54.065;19.520004;-96.91566;;;154.8387;0 / 0;95.2;87.0;4.073;6522;2014-11-08 13:53:22:336
2.8347;2.7007;5.6886;2.9171;4.4459;8.2398;-0.1398;-1.7836;-2.7332;-0.6109;-0.1484;-0.5424;4570.0;-33.0;117.78;10.08;18.17;-27.43;-17.97;8.0;867.59;54.065;19.520004;-96.91566;;;154.8387;0 / 0;95.2;87.0;4.073;15335;2014-11-08 13:53:22:339
2.2793;2.5187;7.6998;2.9276;2.7752;8.9386;-0.543;0.0212;-1.8134;-0.7624;-0.8234;0.3024;4616.0;-37.62;121.2;12.78;19.12;-28.96;-29.92;8.0;867.56;55.948;19.520004;-96.91566;;;154.8387;0 / 0;95.2;87.0;4.073;7038;2014-11-08 13:53:22:852
2.2793;2.5187;7.6998;2.9276;2.7752;8.9386;-0.543;0.0212;-1.8134;-0.7624;-0.8234;0.3024;4616.0;-37.62;121.2;12.78;19.12;-28.96;-29.92;8.0;867.56;55.948;19.520004;-96.91566;;;154.8387;0 / 0;95.2;87.0;4.073;15849;2014-11-08 13:53:22:853
5.3726;1.0534;7.5369;2.6759;4.005;8.5422;2.0573;-2.1958;3.8259;1.9835;0.2896;0.8189;4651.0;-41.16;123.0;15.78;21.31;-22.91;-19.65;8.0;867.5;56.273;19.520004;-96.91566;;;154.8387;0 / 0;95.2;87.0;4.073;7560;2014-11-08 13:53:23:374
4.4628;-0.2777;6.9815;2.6759;4.005;8.5422;1.909;-3.9693;-1.8038;1.9835;0.2896;0.8189;4101.0;-41.16;123.0;15.78;21.31;-22.91;-19.65;8.0;867.5;56.273;19.520004;-96.91566;;;154.8387;0 / 0;95.2;87.0;4.073;16421;2014-11-08 13:53:23:425
4.9991;2.7677;9.165;3.9989;3.8955;8.0625;-0.169;-0.3176;-0.7852;-0.3167;-0.328;0.0788;4196.0;-40.38;123.24;14.88;20.35;-23.41;-26.38;8.0;867.47;73.275;19.520004;-96.91566;;;154.8387;0 / 0;95.2;87.0;4.073;8069;2014-11-08 13:53:23:883
5.0087;2.0016;7.7668;3.9989;3.8955;8.0625;1.5765;-1.8044;0.795;0.504;0.0583;-0.4099;4196.0;-40.38;123.24;14.88;20.35;-23.41;-26.38;8.0;867.47;55.945;19.520004;-96.91566;;;154.8387;0 / 0;95.2;87.0;4.073;16947;2014-11-08 13:53:23:951
3.1699;4.3096;8.8107;3.7187;4.274;8.0047;-0.6496;-0.1326;0.9462;-0.135;-0.2615;-0.6478;3877.0;-38.52;122.88;13.56;20.1;-25.51;-25.23;8.0;867.58;54.721;19.520004;-96.91566;;;154.8387;0 / 0;95.2;87.0;4.073;8570;2014-11-08 13:53:24:384
2.8826;3.4093;8.0732;3.5785;4.4957;7.9469;-0.3282;-1.2822;0.0826;0.0257;-0.0519;-0.8051;3877.0;-38.94;122.82;13.38;20.19;-27.29;-24.24;8.0;867.58;54.721;19.520004;-96.91566;;;154.8387;0 / 0;95.2;87.0;4.073;17456;2014-11-08 13:53:24:460
3.1508;6.292;10.0461;2.7724;4.5652;8.2246;0.2156;-0.2173;-1.3772;-0.5189;0.3961;-0.0556;3588.0;-42.96;123.72;15.42;22.6;-28.84;-21.09;8.0;867.62;57.861;19.520004;-96.91566;;;154.8387;0 / 0;95.2;87.0;4.073;9086;2014-11-08 13:53:24:900
3.1508;6.292;10.0461;3.4454;4.2152;8.1567;0.2156;-0.2173;-1.3772;-0.5189;0.3961;-0.0556;3588.0;-44.22;124.08;16.56;22.72;-25.46;-22.9;8.0;867.62;57.861;19.520004;-96.91566;;;154.8387;0 / 0;95.2;87.0;4.073;17962;2014-11-08 13:53:24:966
4.6926;2.4708;7.5657;3.5789;4.7784;7.7801;1.1138;-2.3075;-0.2144;-0.055;0.1912;-0.0247;3818.0;-46.92;125.28;18.0;24.39;-29.16;-24.7;8.0;867.47;52.8;19.520004;-96.91566;;;154.8387;0 / 0;95.2;87.0;4.073;9595;2014-11-08 13:53:25:409
4.0701;3.8211;5.9376;3.4836;4.6208;7.9173;0.5866;-0.7997;-1.9797;0.0608;0.5095;-0.5357;3862.0;-47.04;125.94;18.36;23.64;-26.8;-26.1;8.0;867.57;52.8;19.520004;-96.91566;;;154.8387;0 / 0;95.2;87.0;4.073;18813;2014-11-08 13:53:25:817
4.4628;3.8403;12.5839;2.6327;5.9858;7.3082;1.8301;-2.1455;5.2757;-0.1952;0.6454;0.4591;3862.0;-47.04;125.94;18.36;23.64;-26.8;-26.1;8.0;867.57;61.188;19.520004;-96.91566;;;154.8387;0 / 0;95.2;87.0;4.073;10109;2014-11-08 13:53:25:923
2.8826;4.5011;4.9512;3.5383;5.3703;7.4034;-1.2782;-0.5052;-2.3277;0.0107;-1.1686;0.6506;3447.0;-46.38;127.14;14.22;23.33;-33.2;-25.54;8.0;867.5;71.629;19.520004;-96.91566;;;154.8387;0 / 0;95.2;87.0;4.073;19313;2014-11-08 13:53:26:317
2.4038;5.4205;4.4724;3.0877;6.1985;6.9437;-0.1668;-1.64;-2.2032;0.3916;0.1484;-1.0049;3154.0;-46.38;126.66;12.96;24.73;-39.2;-23.97;8.0;867.59;71.629;19.520004;-96.91566;;;154.8387;0 / 0;95.2;87.0;4.073;10620;2014-11-08 13:53:26:434
4.3096;3.2944;4.6448;3.3837;5.9942;6.9851;2.1517;-2.6423;-1.1432;0.7165;0.9221;0.1228;2646.0;-47.46;125.76;9.9;23.61;-37.68;-25.85;8.0;867.58;65.255;19.520004;-96.91566;;;154.8387;0 / 0;95.2;87.0;4.073;19952;2014-11-08 13:53:26:956
6.0908;4.6352;7.4603;3.9798;5.7718;6.8569;1.4598;-1.1175;0.3831;0.6619;-0.3152;-0.7095;2646.0;-47.46;125.76;9.9;23.61;-37.68;-25.85;8.0;867.58;65.255;19.520004;-96.91566;;;154.8387;0 / 0;95.2;87.0;4.073;11187;2014-11-08 13:53:27:001
2.4229;5.5929;6.4548;4.5027;6.2625;6.0562;-1.9457;-0.7941;0.2645;-1.0464;-0.6191;-0.9865;2571.0;-52.26;120.48;8.16;23.28;-39.69;-36.63;8.0;867.55;54.132;19.520004;-96.91566;;;154.8387;0 / 0;95.2;87.0;4.073;20463;2014-11-08 13:53:27:467
2.4229;5.5929;6.4548;4.5027;6.2625;6.0562;-1.9457;-0.7941;0.2645;-1.0464;-0.6191;-0.9865;2571.0;-52.26;120.48;8.16;23.28;-39.69;-36.63;8.0;867.55;51.772;19.520004;-96.91566;;;154.8387;0 / 0;95.2;87.0;4.073;11712;2014-11-08 13:53:27:526
6.6559;6.5218;6.359;4.2734;5.7113;6.7298;0.8119;-0.0227;-1.4434;-0.9459;-0.7165;-0.4545;2590.0;-59.58;115.92;12.48;28.05;-35.62;-32.42;8.0;867.58;50.111;19.520004;-96.91566;;;154.8387;0 / 0;95.2;87.0;4.073;20963;2014-11-08 13:53:27:967
6.7612;5.2002;8.0828;5.0131;5.5589;6.3355;1.7098;0.8289;1.5271;-1.2831;-1.4795;-0.222;2590.0;-62.52;114.54;15.0;28.04;-34.53;-38.35;8.0;867.58;50.111;19.520004;-96.91566;;;154.8387;0 / 0;95.2;87.0;4.073;12235;2014-11-08 13:53:28:049
5.0374;5.4875;4.3479;4.7272;6.0884;6.0627;-0.0825;-1.6639;-1.9255;-0.4545;-1.4016;-1.4615;2735.0;-69.48;108.84;25.92;35.4;-38.38;-37.94;8.0;867.54;70.796;19.520004;-96.91566;;;154.8387;0 / 0;95.2;87.0;4.073;21479;2014-11-08 13:53:28:483
6.359;7.4603;4.367;4.2707;6.8878;5.5218;2.1362;-0.1744;-1.126;-0.365;-0.7535;-1.8332;2208.0;-70.02;105.24;29.64;39.91;-44.62;-37.72;8.0;867.55;70.796;19.520004;-96.91566;;;154.8387;0 / 0;95.2;87.0;4.073;12768;2014-11-08 13:53:28:582
3.0933;4.4532;2.557;4.0909;7.8877;4.1496;-0.4039;-3.2238;-0.5296;-0.2169;-1.1417;-0.0739;1814.0;-66.3;91.26;40.62;48.16;-53.54;-44.59;8.0;867.56;75.259;19.520004;-96.91566;;;154.8387;0 / 0;95.2;87.0;4.073;21979;2014-11-08 13:53:28:983
2.8347;8.4946;6.1196;4.3791;7.7392;4.135;-2.0328;-0.1257;0.4715;-1.197;-0.7972;-0.2905;1814.0;-64.02;86.28;43.26;48.62;-52.11;-46.64;8.0;867.56;75.259;19.520004;-96.91566;;;154.8387;0 / 0;95.2;87.0;4.073;13275;2014-11-08 13:53:29:089
9.232;2.2218;8.1882;5.1573;4.4191;7.0742;2.1402;-2.3697;-0.6194;0.5299;0.4924;0.1396;4390.0;-65.28;84.78;38.4;43.37;-26.78;-36.09;8.0;879.84;65.731;19.520004;-96.91566;;;154.8387;0 / 0;95.2;87.0;4.073;23515;2014-11-08 13:53:30:519
9.232;2.2218;8.1882;5.1573;4.4191;7.0742;2.1402;-2.3697;-0.6194;0.5299;0.4924;0.1396;4390.0;-65.28;84.78;38.4;43.37;-26.78;-36.09;8.0;879.84;65.731;19.520004;-96.91566;;;154.8387;0 / 0;95.2;87.0;4.073;14709;2014-11-08 13:53:30:523
10.4387;3.6105;7.9966;6.6463;4.9643;5.23;3.7924;-1.3538;2.7666;0.7611;0.2831;0.3748;2509.0;-70.08;94.5;43.32;38.67;-30.41;-51.8;8.0;867.63;70.824;19.520004;-96.91566;;;154.8387;0 / 0;95.2;87.0;4.073;24404;2014-11-08 13:53:31:408
10.4387;3.6105;7.9966;6.6463;4.9643;5.23;3.7924;-1.3538;2.7666;0.7611;0.2831;0.3748;2509.0;-70.08;94.5;43.32;38.67;-30.41;-51.8;8.0;867.63;70.824;19.520004;-96.91566;;;154.8387;0 / 0;95.2;87.0;4.073;15598;2014-11-08 13:53:31:412
